Page,URL
4,https://www.domain.com.au/318-187-kent-street-sydney-nsw-2000-2019645363
4,https://www.domain.com.au/73-398-408-pitt-street-sydney-nsw-2000-2019625538
4,https://www.domain.com.au/280-569-581-george-street-sydney-nsw-2000-2019619993
4,https://www.domain.com.au/901-129-harrington-street-sydney-nsw-2000-2019618670
4,https://www.domain.com.au/2106-161-clarence-street-sydney-nsw-2000-2019615219
4,https://www.domain.com.au/2910-68-70-market-street-sydney-nsw-2000-2019610190
4,https://www.domain.com.au/1103-15-young-street-sydney-nsw-2000-2019596903
4,https://www.domain.com.au/801-5-york-street-sydney-nsw-2000-2019595552
4,https://www.domain.com.au/413-2-bond-street-sydney-nsw-2000-2019555479
4,https://www.domain.com.au/6-267-277-castlereagh-street-sydney-nsw-2000-2019549554
4,https://www.domain.com.au/level-45-101-bathurst-street-sydney-nsw-2000-2019531061
4,https://www.domain.com.au/2515-101-bathurst-street-sydney-nsw-2000-2019522172
4,https://www.domain.com.au/1201-50-clarence-street-sydney-nsw-2000-2019517902
4,https://www.domain.com.au/25-365-kent-street-sydney-nsw-2000-2019516588
4,https://www.domain.com.au/708-709-71-macquarie-street-sydney-nsw-2000-2019514205
4,https://www.domain.com.au/5403-101-bathurst-street-sydney-nsw-2000-2019505581
4,https://www.domain.com.au/sub-penthouse-115-bathurst-street-sydney-nsw-2000-2019503044
4,https://www.domain.com.au/2801-98-gloucester-street-sydney-nsw-2000-2019490179
4,https://www.domain.com.au/804-160-king-street-sydney-nsw-2000-2019481527
4,https://www.domain.com.au/190-298-304-sussex-street-sydney-nsw-2000-2019258218
4,https://www.domain.com.au/3501-343-pitt-street-sydney-nsw-2000-2019602756
4,https://www.domain.com.au/2701-433-kent-street-sydney-nsw-2000-2019611047
5,https://www.domain.com.au/115-bathurst-street-sydney-nsw-2000-2019465298
5,https://www.domain.com.au/3802-38-york-street-sydney-nsw-2000-2019464668
5,https://www.domain.com.au/1102-160-king-street-sydney-nsw-2000-2019428175
5,https://www.domain.com.au/403-130-elizabeth-street-sydney-nsw-2000-2019412623
5,https://www.domain.com.au/1905-281-elizabeth-street-sydney-nsw-2000-2019396711
5,https://www.domain.com.au/2906-117-bathurst-street-sydney-nsw-2000-2019372485
5,https://www.domain.com.au/414-23-shelley-street-sydney-nsw-2000-2019346890
5,https://www.domain.com.au/602-130-elizabeth-street-sydney-nsw-2000-2019331910
5,https://www.domain.com.au/1404-71-macquarie-street-sydney-nsw-2000-2019322608
5,https://www.domain.com.au/202-27-barangaroo-avenue-sydney-nsw-2000-2019318464
5,https://www.domain.com.au/707-71-macquarie-street-sydney-nsw-2000-2019295493
5,https://www.domain.com.au/1704-130-elizabeth-street-sydney-nsw-2000-2019264303
5,https://www.domain.com.au/3709-117-bathurst-street-sydney-nsw-2000-2019233762
5,https://www.domain.com.au/2307-101-bathurst-street-sydney-nsw-2000-2019192336
5,https://www.domain.com.au/12a-88-barangaroo-avenue-sydney-nsw-2000-2019190354
5,https://www.domain.com.au/502-188-day-street-sydney-nsw-2000-2018785989
5,https://www.domain.com.au/2706-116-bathurst-street-sydney-nsw-2000-2019157650
5,https://www.domain.com.au/8e-171-gloucester-street-sydney-nsw-2000-2019054100
5,https://www.domain.com.au/2606-117-bathurst-street-sydney-nsw-2000-2019093245
5,https://www.domain.com.au/3302-116-bathurst-street-sydney-nsw-2000-2018177282
5,https://www.domain.com.au/190-298-304-sussex-street-sydney-nsw-2000-2019258218
5,https://www.domain.com.au/3501-343-pitt-street-sydney-nsw-2000-2019602756
5,https://www.domain.com.au/2701-433-kent-street-sydney-nsw-2000-2019611047
6,https://www.domain.com.au/level-16-8-dixon-street-sydney-nsw-2000-2019003683
6,https://www.domain.com.au/2004-160-king-street-sydney-nsw-2000-2018841379
6,https://www.domain.com.au/207-187-kent-street-sydney-nsw-2000-2018791530
6,https://www.domain.com.au/5103-93-liverpool-street-sydney-nsw-2000-2018772252
6,https://www.domain.com.au/2104-281-elizabeth-street-sydney-nsw-2000-2018649021
6,https://www.domain.com.au/1006-361-sussex-street-sydney-nsw-2000-2019742716
6,https://www.domain.com.au/1202-209-castlereagh-street-sydney-nsw-2000-2019635305
6,https://www.domain.com.au/1008-28-harbour-st-sydney-nsw-2000-2016770731
6,https://www.domain.com.au/405-130-elizabeth-street-sydney-nsw-2000-2019551656
6,https://www.domain.com.au/301-185-macquarie-street-sydney-nsw-2000-2019541127
6,https://www.domain.com.au/510-71-macquarie-street-sydney-nsw-2000-2019532344
6,https://www.domain.com.au/53-25-market-street-sydney-nsw-2000-2019475258
6,https://www.domain.com.au/1101-1-5-hosking-place-sydney-nsw-2000-2019438577
6,https://www.domain.com.au/813-187-kent-street-sydney-nsw-2000-2019435561
6,https://www.domain.com.au/501-718-george-street-sydney-nsw-2000-2019376354
6,https://www.domain.com.au/sydney-nsw-2000-2019311239
6,https://www.domain.com.au/sydney-nsw-2000-2019303330
6,https://www.domain.com.au/sydney-nsw-2000-2019303328
6,https://www.domain.com.au/1312-183-kent-street-sydney-nsw-2000-2019170764
6,https://www.domain.com.au/76-3-macquarie-street-sydney-nsw-2000-2019163582
6,https://www.domain.com.au/190-298-304-sussex-street-sydney-nsw-2000-2019258218
6,https://www.domain.com.au/3501-343-pitt-street-sydney-nsw-2000-2019602756
6,https://www.domain.com.au/2701-433-kent-street-sydney-nsw-2000-2019611047
7,https://www.domain.com.au/2602-117-bathurst-street-sydney-nsw-2000-2019160289
7,https://www.domain.com.au/1203-6-little-hay-street-sydney-nsw-2000-2019149564
7,https://www.domain.com.au/1908-348-sussex-st-sydney-nsw-2000-2019126627
7,https://www.domain.com.au/1803-60-bathurst-st-sydney-nsw-2000-2019031277
7,https://www.domain.com.au/2706-68-70-market-st-sydney-nsw-2000-2019028163
7,https://www.domain.com.au/7106-117-bathurst-street-sydney-nsw-2000-2018902560
7,https://www.domain.com.au/6101-117-bathurst-street-sydney-nsw-2000-2018899314
7,https://www.domain.com.au/1305-161-clarence-street-sydney-nsw-2000-2018794022
7,https://www.domain.com.au/3703-117-bathurst-street-sydney-nsw-2000-2018742650
7,https://www.domain.com.au/1202-11-alberta-st-sydney-nsw-2000-2018707667
7,https://www.domain.com.au/1701-160-king-street-sydney-nsw-2000-2018691893
7,https://www.domain.com.au/504-71-macquarie-street-sydney-nsw-2000-2018544786
7,https://www.domain.com.au/700x-115-bathurst-st-sydney-nsw-2000-2018510139
7,https://www.domain.com.au/105-188-day-street-sydney-nsw-2000-2018444863
7,https://www.domain.com.au/1503-718-george-street-sydney-nsw-2000-2018328572
7,https://www.domain.com.au/1504-148-160-king-street-sydney-nsw-2000-2018169598
7,https://www.domain.com.au/n910-23-shelley-street-sydney-nsw-2000-2018078510
7,https://www.domain.com.au/level-12-303-castlereagh-street-sydney-nsw-2000-2013554678
7,https://www.domain.com.au/2-bond-street-sydney-nsw-2000-2017338073
7,https://www.domain.com.au/3305-38-york-street-sydney-nsw-2000-2017335062
7,https://www.domain.com.au/190-298-304-sussex-street-sydney-nsw-2000-2019258218
7,https://www.domain.com.au/3501-343-pitt-street-sydney-nsw-2000-2019602756
7,https://www.domain.com.au/2701-433-kent-street-sydney-nsw-2000-2019611047
8,https://www.domain.com.au/115-bathurst-st-sydney-nsw-2000-2016956816
8,https://www.domain.com.au/115-bathurst-st-sydney-nsw-2000-2016956823
8,https://www.domain.com.au/343-357-pitt-street-sydney-nsw-2000-2016457746
8,https://www.domain.com.au/level-29-91-liverpool-street-sydney-nsw-2000-2013554411
8,https://www.domain.com.au/10-nicolle-walk-sydney-nsw-2000-2013543098
